Tiempo,Posicion,Velocidad
1.730000,-0.454107,4.636810
1.740000,-0.407817,4.618629
1.750000,-0.361781,4.586512
1.760000,-0.316130,4.541643
1.770000,-0.270987,4.485090
1.780000,-0.226464,4.417801
1.790000,-0.182664,4.340609
1.800000,-0.139682,4.254228
1.810000,-0.097608,4.159263
1.820000,-0.056524,4.056219
1.830000,-0.016509,3.945509
1.840000,0.022362,3.827469
1.850000,0.060017,3.702365
1.860000,0.096387,3.570412
1.870000,0.131403,3.431785
1.880000,0.165001,3.286631
1.890000,0.197114,3.135084
1.900000,0.227681,2.977278
1.910000,0.256640,2.813356
1.920000,0.283929,2.643483
1.930000,0.309490,2.467854
1.940000,0.333267,2.286703
1.950000,0.355207,2.100310
1.960000,0.375257,1.909003
1.970000,0.393372,1.713166
1.980000,0.409507,1.513235
1.990000,0.423624,1.309700
2.000000,0.435691,1.103101
2.010000,0.445678,0.894026
2.020000,0.453565,0.683104
2.030000,0.459336,0.470994
2.040000,0.462983,0.258383
2.050000,0.464504,0.045971
2.060000,0.463906,-0.165535
2.070000,0.461199,-0.375433
2.080000,0.456405,-0.583038
2.090000,0.449548,-0.787687
2.100000,0.440663,-0.988751
2.110000,0.429787,-1.185642
2.120000,0.416966,-1.377820
2.130000,0.402248,-1.564797
2.140000,0.385688,-1.746141
2.150000,0.367345,-1.921477
2.160000,0.347280,-2.090487
2.170000,0.325557,-2.252912
2.180000,0.302244,-2.408543
2.190000,0.277410,-2.557219
2.200000,0.251124,-2.698825
2.210000,0.223457,-2.833278
2.220000,0.194482,-2.960525
2.230000,0.164271,-3.080531
2.240000,0.132896,-3.193274
2.250000,0.100430,-3.298730
2.260000,0.066945,-3.396869
2.270000,0.032517,-3.487645
2.280000,-0.002783,-3.570984
2.290000,-0.038878,-3.646780
2.300000,-0.075693,-3.714884
2.310000,-0.113149,-3.775099
2.320000,-0.151167,-3.827175
2.330000,-0.189665,-3.870803
2.340000,-0.228554,-3.905616
2.350000,-0.267746,-3.931182
2.360000,-0.307145,-3.947009
2.370000,-0.346652,-3.952550
2.380000,-0.386160,-3.947203
2.390000,-0.425558,-3.930324
2.400000,-0.464726,-3.901234
2.410000,-0.503539,-3.859236
2.420000,-0.541865,-3.803629
2.430000,-0.579564,-3.733730
2.440000,-0.616490,-3.648891
2.450000,-0.652490,-3.548530
2.460000,-0.687407,-3.432150
2.470000,-0.721079,-3.299373
2.480000,-0.753339,-3.149961
2.490000,-0.784022,-2.983846
2.500000,-0.812961,-2.801154
2.510000,-0.839991,-2.602227
2.520000,-0.864953,-2.387638
2.530000,-0.887694,-2.158206
2.540000,-0.908071,-1.914999
2.550000,-0.925953,-1.659329
2.560000,-0.941221,-1.392745
2.570000,-0.953777,-1.117014
2.580000,-0.963538,-0.834089
2.590000,-0.970442,-0.546080
2.600000,-0.974450,-0.255209
2.610000,-0.975544,0.036233
2.620000,-0.973731,0.325933
2.630000,-0.969039,0.611610
2.640000,-0.961520,0.891059
2.650000,-0.951245,1.162196
2.660000,-0.938310,1.423100
2.670000,-0.922823,1.672045
2.680000,-0.904914,1.907526
2.690000,-0.884722,2.128278
2.700000,-0.862401,2.333285
2.710000,-0.838111,2.521782
2.720000,-0.812022,2.693248
2.730000,-0.784304,2.847398
2.740000,-0.755132,2.984160
2.750000,-0.724678,3.103659
2.760000,-0.693115,3.206189
2.770000,-0.660610,3.292189
2.780000,-0.627325,3.362214
