Tiempo,Posicion,Velocidad
1.960000,-1.333592,-0.253015
1.970000,-1.335145,-0.035816
1.980000,-1.334529,0.180475
1.990000,-1.331756,0.395201
2.000000,-1.326846,0.607714
2.010000,-1.319822,0.817378
2.020000,-1.310718,1.023577
2.030000,-1.299569,1.225714
2.040000,-1.286419,1.423219
2.050000,-1.271316,1.615547
2.060000,-1.254316,1.802186
2.070000,-1.235477,1.982653
2.080000,-1.214862,2.156504
2.090000,-1.192541,2.323327
2.100000,-1.168584,2.482749
2.110000,-1.143067,2.634435
2.120000,-1.116070,2.778085
2.130000,-1.087673,2.913439
2.140000,-1.057961,3.040274
2.150000,-1.027019,3.158402
2.160000,-0.994936,3.267670
2.170000,-0.961800,3.367959
2.180000,-0.927703,3.459183
2.190000,-0.892734,3.541283
2.200000,-0.856985,3.614233
2.210000,-0.820548,3.678030
2.220000,-0.783515,3.732696
2.230000,-0.745975,3.778276
2.240000,-0.708020,3.814835
2.250000,-0.669740,3.842457
2.260000,-0.631224,3.861242
2.270000,-0.592559,3.871307
2.280000,-0.553832,3.872779
2.290000,-0.515129,3.865801
2.300000,-0.476533,3.850523
2.310000,-0.438127,3.827106
2.320000,-0.399990,3.795720
2.330000,-0.362203,3.756544
2.340000,-0.324842,3.709760
2.350000,-0.287982,3.655560
2.360000,-0.251697,3.594140
2.370000,-0.216058,3.525704
2.380000,-0.181134,3.450460
2.390000,-0.146992,3.368622
2.400000,-0.113698,3.280409
2.410000,-0.081313,3.186046
2.420000,-0.049899,3.085764
2.430000,-0.019514,2.979801
2.440000,0.009787,2.868397
2.450000,0.037950,2.751804
2.460000,0.064926,2.630276
2.470000,0.090664,2.504075
2.480000,0.115121,2.373470
2.490000,0.138252,2.238736
2.500000,0.160019,2.100155
2.510000,0.180384,1.958015
2.520000,0.199312,1.812611
2.530000,0.216773,1.664244
2.540000,0.232738,1.513220
2.550000,0.247182,1.359850
2.560000,0.260083,1.204452
2.570000,0.271421,1.047346
2.580000,0.281183,0.888856
2.590000,0.289354,0.729309
2.600000,0.295926,0.569034
2.610000,0.300894,0.408361
2.620000,0.304254,0.247619
2.630000,0.306008,0.087139
2.640000,0.306159,-0.072753
2.650000,0.304715,-0.231730
2.660000,0.301687,-0.389472
2.670000,0.297088,-0.545660
2.680000,0.290935,-0.699984
2.690000,0.283249,-0.852137
2.700000,0.274052,-1.001820
2.710000,0.263370,-1.148744
2.720000,0.251232,-1.292624
2.730000,0.237671,-1.433188
2.740000,0.222719,-1.570170
2.750000,0.206415,-1.703317
2.760000,0.188798,-1.832384
2.770000,0.169909,-1.957138
2.780000,0.149793,-2.077354
2.790000,0.128496,-2.192822
2.800000,0.106066,-2.303340
2.810000,0.082554,-2.408716
2.820000,0.058012,-2.508771
2.830000,0.032494,-2.603336
2.840000,0.006056,-2.692251
2.850000,-0.021245,-2.775368
2.860000,-0.049351,-2.852549
2.870000,-0.078202,-2.923663
2.880000,-0.107736,-2.988593
2.890000,-0.137891,-3.047228
2.900000,-0.168603,-3.099467
2.910000,-0.199809,-3.145220
2.920000,-0.231443,-3.184404
2.930000,-0.263439,-3.216944
2.940000,-0.295731,-3.242778
2.950000,-0.328250,-3.261849
2.960000,-0.360929,-3.274112
2.970000,-0.393700,-3.279530
2.980000,-0.426495,-3.278076
2.990000,-0.459244,-3.269733
3.000000,-0.491878,-3.254496
3.010000,-0.524329,-3.232370
3.020000,-0.556528,-3.203370
3.030000,-0.588406,-3.167526
3.040000,-0.619895,-3.124880
3.050000,-0.650927,-3.075486
3.060000,-0.681435,-3.019415
3.070000,-0.711353,-2.956751
3.080000,-0.740614,-2.887593
3.090000,-0.769155,-2.812059
3.100000,-0.796913,-2.730280
3.110000,-0.823826,-2.642409
3.120000,-0.849832,-2.548613
3.130000,-0.874875,-2.449078
3.140000,-0.898898,-2.344011
3.150000,-0.921845,-2.233634
3.160000,-0.943666,-2.118191
3.170000,-0.964311,-1.997942
3.180000,-0.983732,-1.873166
3.190000,-1.001887,-1.744162
