Tiempo,Posicion,Velocidad
1.730000,-0.752978,-4.078118
1.740000,-0.793337,-3.992041
1.750000,-0.832789,-3.896927
1.760000,-0.871246,-3.792898
1.770000,-0.908618,-3.680099
1.780000,-0.944819,-3.558706
1.790000,-0.979764,-3.428920
1.800000,-1.013370,-3.290974
1.810000,-1.045557,-3.145130
1.820000,-1.076247,-2.991684
1.830000,-1.105367,-2.830963
1.840000,-1.132844,-2.663330
1.850000,-1.158611,-2.489177
1.860000,-1.182607,-2.308929
1.870000,-1.204771,-2.123044
1.880000,-1.225051,-1.932010
1.890000,-1.243396,-1.736341
1.900000,-1.259764,-1.536579
1.910000,-1.274116,-1.333292
1.920000,-1.286420,-1.127065
1.930000,-1.296649,-0.918503
1.940000,-1.304784,-0.708226
1.950000,-1.310810,-0.496865
1.960000,-1.314720,-0.285056
1.970000,-1.316512,-0.073441
1.980000,-1.316191,0.137342
1.990000,-1.313770,0.346657
2.000000,-1.309265,0.553879
2.010000,-1.302701,0.758395
2.020000,-1.294108,0.959609
2.030000,-1.283522,1.156944
2.040000,-1.270984,1.349848
2.050000,-1.256542,1.537794
2.060000,-1.240247,1.720284
2.070000,-1.222156,1.896850
2.080000,-1.202331,2.067058
2.090000,-1.180837,2.230508
2.100000,-1.157744,2.386834
2.110000,-1.133125,2.535706
2.120000,-1.107056,2.676831
2.130000,-1.079615,2.809951
2.140000,-1.050885,2.934844
2.150000,-1.020947,3.051322
2.160000,-0.989887,3.159230
2.170000,-0.957791,3.258447
2.180000,-0.924747,3.348882
2.190000,-0.890843,3.430474
2.200000,-0.856167,3.503187
2.210000,-0.820809,3.567013
2.220000,-0.784856,3.621969
2.230000,-0.748399,3.668091
2.240000,-0.711524,3.705437
2.250000,-0.674319,3.734083
2.260000,-0.636871,3.754122
2.270000,-0.599265,3.765661
2.280000,-0.561586,3.768822
2.290000,-0.523916,3.763738
2.300000,-0.486338,3.750553
2.310000,-0.448931,3.729422
2.320000,-0.411775,3.700506
2.330000,-0.374947,3.663978
2.340000,-0.338521,3.620014
2.350000,-0.302571,3.568800
2.360000,-0.267168,3.510527
2.370000,-0.232383,3.445392
2.380000,-0.198282,3.373597
2.390000,-0.164932,3.295351
2.400000,-0.132396,3.210868
2.410000,-0.100735,3.120368
2.420000,-0.070008,3.024075
2.430000,-0.040272,2.922222
2.440000,-0.011581,2.815045
2.450000,0.016012,2.702786
2.460000,0.042458,2.585696
2.470000,0.067710,2.464029
2.480000,0.091724,2.338047
2.490000,0.114458,2.208018
2.500000,0.135872,2.074216
2.510000,0.155931,1.936921
2.520000,0.174600,1.796420
2.530000,0.191849,1.653002
2.540000,0.207651,1.506967
2.550000,0.221981,1.358616
2.560000,0.234817,1.208254
2.570000,0.246140,1.056192
2.580000,0.255936,0.902744
2.590000,0.264192,0.748226
2.600000,0.270898,0.592954
2.610000,0.276049,0.437248
2.620000,0.279643,0.281426
2.630000,0.281678,0.125808
2.640000,0.282160,-0.029292
2.650000,0.281095,-0.183558
2.660000,0.278493,-0.336680
2.670000,0.274367,-0.488351
2.680000,0.268732,-0.638269
2.690000,0.261608,-0.786140
2.700000,0.253017,-0.931672
2.710000,0.242983,-1.074585
2.720000,0.231535,-1.214604
2.730000,0.218702,-1.351462
2.740000,0.204517,-1.484904
2.750000,0.189016,-1.614681
2.760000,0.172236,-1.740556
2.770000,0.154219,-1.862300
2.780000,0.135005,-1.979696
2.790000,0.114640,-2.092536
2.800000,0.093170,-2.200623
2.810000,0.070644,-2.303770
2.820000,0.047112,-2.401800
2.830000,0.022626,-2.494547
2.840000,-0.002761,-2.581855
2.850000,-0.028993,-2.663577
2.860000,-0.056014,-2.739577
2.870000,-0.083765,-2.809728
2.880000,-0.112188,-2.873912
2.890000,-0.141223,-2.932022
2.900000,-0.170808,-2.983959
2.910000,-0.200881,-3.029632
2.920000,-0.231380,-3.068960
2.930000,-0.262239,-3.101872
2.940000,-0.293395,-3.128305
2.950000,-0.324783,-3.148205
2.960000,-0.356338,-3.161526
2.970000,-0.387992,-3.168234
2.980000,-0.419680,-3.168304
2.990000,-0.451336,-3.161719
3.000000,-0.482892,-3.148475
3.010000,-0.514283,-3.128577
3.020000,-0.545442,-3.102043
3.030000,-0.576302,-3.068901
3.040000,-0.606798,-3.029193
3.050000,-0.636864,-2.982973
3.060000,-0.666436,-2.930310
3.070000,-0.695449,-2.871286
3.080000,-0.723841,-2.805998
3.090000,-0.751549,-2.734560
3.100000,-0.778512,-2.657099
3.110000,-0.804671,-2.573762
3.120000,-0.829968,-2.484709
3.130000,-0.854347,-2.390121
3.140000,-0.877753,-2.290194
3.150000,-0.900133,-2.185142
3.160000,-0.921439,-2.075196
3.170000,-0.941622,-1.960606
3.180000,-0.960637,-1.841637
3.190000,-0.978441,-1.718572
3.200000,-0.994995,-1.591709
3.210000,-1.010264,-1.461361
3.220000,-1.024212,-1.327857
3.230000,-1.036811,-1.191537
3.240000,-1.048035,-1.052755
3.250000,-1.057859,-0.911873
3.260000,-1.066266,-0.769265
3.270000,-1.073240,-0.625311
3.280000,-1.078769,-0.480397
3.290000,-1.082846,-0.334914
3.300000,-1.085467,-0.189253
3.310000,-1.086632,-0.043808
3.320000,-1.086345,0.101030
3.330000,-1.084615,0.244873
3.340000,-1.081452,0.387338
3.350000,-1.076874,0.528049
3.360000,-1.070898,0.666639
3.370000,-1.063549,0.802750
3.380000,-1.054853,0.936039
3.390000,-1.044839,1.066173
3.400000,-1.033541,1.192835
3.410000,-1.020995,1.315725
3.420000,-1.007240,1.434557
3.430000,-0.992318,1.549064
3.440000,-0.976274,1.658999
3.450000,-0.959154,1.764130
3.460000,-0.941008,1.864248
3.470000,-0.921887,1.959161
3.480000,-0.901843,2.048697
3.490000,-0.880931,2.132703
3.500000,-0.859208,2.211046
3.510000,-0.836729,2.283612
3.520000,-0.813555,2.350305
3.530000,-0.789743,2.411047
3.540000,-0.765354,2.465777
3.550000,-0.740448,2.514452
3.560000,-0.715085,2.557044
3.570000,-0.689327,2.593540
3.580000,-0.663235,2.623944
3.590000,-0.636869,2.648272
3.600000,-0.610290,2.666554
3.610000,-0.583558,2.678831
3.620000,-0.556733,2.685157
3.630000,-0.529874,2.685598
3.640000,-0.503040,2.680228
3.650000,-0.476289,2.669133
3.660000,-0.449676,2.652407
3.670000,-0.423259,2.630153
3.680000,-0.397091,2.602481
3.690000,-0.371227,2.569510
3.700000,-0.345718,2.531366
3.710000,-0.320616,2.488182
3.720000,-0.295971,2.440096
3.730000,-0.271830,2.387256
3.740000,-0.248241,2.329811
3.750000,-0.225249,2.267919
3.760000,-0.202897,2.201743
3.770000,-0.181228,2.131452
3.780000,-0.160281,2.057217
3.790000,-0.140096,1.979217
3.800000,-0.120709,1.897635
3.810000,-0.102155,1.812658
3.820000,-0.084466,1.724477
3.830000,-0.067675,1.633289
3.840000,-0.051810,1.539294
3.850000,-0.036898,1.442694
3.860000,-0.022964,1.343698
3.870000,-0.010031,1.242514
3.880000,0.001880,1.139357
3.890000,0.012750,1.034441
3.900000,0.022563,0.927985
3.910000,0.031305,0.820209
3.920000,0.038964,0.711334
3.930000,0.045529,0.601582
3.940000,0.050993,0.491177
3.950000,0.055351,0.380342
3.960000,0.058599,0.269301
3.970000,0.060737,0.158275
3.980000,0.061766,0.047488
3.990000,0.061688,-0.062842
4.000000,0.060511,-0.172496
4.010000,0.058242,-0.281259
4.020000,0.054890,-0.388918
4.030000,0.050468,-0.495263
4.040000,0.044989,-0.600090
4.050000,0.038471,-0.703195
4.060000,0.030932,-0.804384
4.070000,0.022391,-0.903462
4.080000,0.012870,-1.000244
4.090000,0.002394,-1.094549
4.100000,-0.009012,-1.186199
4.110000,-0.021320,-1.275026
4.120000,-0.034502,-1.360867
4.130000,-0.048527,-1.443564
4.140000,-0.063363,-1.522967
4.150000,-0.078975,-1.598932
4.160000,-0.095329,-1.671323
4.170000,-0.112389,-1.740010
4.180000,-0.130117,-1.804871
4.190000,-0.148473,-1.865790
4.200000,-0.167419,-1.922658
4.210000,-0.186913,-1.975375
4.220000,-0.206912,-2.023848
4.230000,-0.227375,-2.067990
4.240000,-0.248258,-2.107723
4.250000,-0.269515,-2.142975
4.260000,-0.291102,-2.173684
4.270000,-0.312973,-2.199794
4.280000,-0.335082,-2.221256
4.290000,-0.357383,-2.238031
4.300000,-0.379827,-2.250088
4.310000,-0.402369,-2.257401
4.320000,-0.424959,-2.259957
4.330000,-0.447552,-2.257747
4.340000,-0.470098,-2.250775
4.350000,-0.492552,-2.239050
4.360000,-0.514864,-2.222592
